"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"two-choice","57","252994","0.0-3.54-0.54","433","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","27"
"two-choice","58","255740","0.0-3.55-0.55","470","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","27"
"two-choice","59","258566","0.0-3.56-0.56","547","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","27"
"two-choice","60","261356","0.0-3.57-0.57","514","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","28"
"two-choice","61","264487","0.0-3.58-0.58","858","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","29"
"two-choice","62","267479","0.0-3.59-0.59","708","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","30"
"two-choice","63","270335","0.0-3.60-0.60","574","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","30"
"two-choice","64","273103","0.0-3.61-0.61","496","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","31"
"two-choice","65","276371","0.0-3.62-0.62","990","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","31"
"two-choice","66","279229","0.0-3.63-0.63","583","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","32"
"two-choice","67","282004","0.0-3.64-0.64","496","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","32"
"two-choice","68","284796","0.0-3.65-0.65","509","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","32"
"two-choice","69","287515","0.0-3.66-0.66","448","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","33"
"two-choice","70","290343","0.0-3.67-0.67","539","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","34"
