"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"pavlovia","0","6","0.0-0.0","","","","","","","","","","","","",""
"survey-text","1","3186","0.0-1.0","3179","{""Q0"":""20""}","""20""","","","","","","","","","",""
"instructions","2","5481","0.0-2.0-0.0","2295","","","[{""page_index"":0,""viewing_time"":798},{""page_index"":1,""viewing_time"":432},{""page_index"":2,""viewing_time"":438},{""page_index"":3,""viewing_time"":626}]","","","","","","","","",""
"two-choice","3","7717","0.0-3.0-0.0","731","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","1"
"two-choice","4","10328","0.0-3.1-0.1","343","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","2"
"two-choice","5","13155","0.0-3.2-0.2","559","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","2"
"two-choice","6","23180","0.0-3.3-0.3","6759","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","3"
"two-choice","7","25792","0.0-3.4-0.4","347","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","4"
"two-choice","8","28406","0.0-3.5-0.5","350","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","5"
"two-choice","9","31026","0.0-3.6-0.6","355","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","6"
"two-choice","10","33621","0.0-3.7-0.7","331","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","7"
"two-choice","11","36263","0.0-3.8-0.8","376","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","7"
"two-choice","12","38871","0.0-3.9-0.9","343","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","8"
"two-choice","13","41467","0.0-3.10-0.10","332","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","9"
"two-choice","14","44067","0.0-3.11-0.11","337","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","9"
"two-choice","15","46629","0.0-3.12-0.12","299","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","10"
"two-choice","16","49229","0.0-3.13-0.13","334","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","10"
"two-choice","17","51851","0.0-3.14-0.14","358","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","11"
"two-choice","18","54503","0.0-3.15-0.15","386","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","12"
"two-choice","19","57134","0.0-3.16-0.16","366","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","13"
"two-choice","20","59757","0.0-3.17-0.17","359","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","14"
"two-choice","21","62405","0.0-3.18-0.18","383","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","15"
"two-choice","22","65013","0.0-3.19-0.19","344","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","16"
